,price,bed,bath,feet,address,new_flag,link,company,original_str
0,1195000,0,2,2160,"2211 Harman St,Flushing, NY 11385",True,https://www.trulia.com/p/ny/flushing/2211-harman-st-flushing-ny-11385--2010111921,"COMPASS GREATER NY, LLC","NEW - 1 MIN AGO
© Google
$1,195,000
Studio
2ba
2,160 sqft
2211 Harman St,
Flushing, NY 11385
LISTING BY: COMPASS GREATER NY, LLC"
1,795000,1,1,500,"524 E 72nd St #25F,New York, NY 10021",True,https://www.trulia.com/p/ny/new-york/524-e-72nd-st-25f-new-york-ny-10021--2088856861,SOTHEBY'S INTERNATIONAL REALTY,"NEW - 19 MIN AGO
$795,000
1bd
1ba
500 sqft
524 E 72nd St #25F,
New York, NY 10021
LISTING BY: SOTHEBY'S INTERNATIONAL REALTY"
2,1275000,2,2,1056,"245 E 93rd St #12C,New York, NY 10128",True,https://www.trulia.com/p/ny/new-york/245-e-93rd-st-12c-new-york-ny-10128--2088915243,DOUGLAS ELLIMAN,"NEW
OPEN SUN, 11-12PM
$1,275,000
2bd
2ba
1,056 sqft
245 E 93rd St #12C,
New York, NY 10128
LISTING BY: DOUGLAS ELLIMAN"
3,460000,2,1,900,"104-20 68th Dr #A-41,Queens, NY 11375",True,https://www.trulia.com/p/ny/queens/104-20-68th-dr-a-41-queens-ny-11375--2481333156,RK CAPITAL GROUP LLC,"NEW - 19 MIN AGO
$460,000
2bd
1ba
900 sqft
104-20 68th Dr #A-41,
Queens, NY 11375
LISTING BY: RK CAPITAL GROUP LLC"
4,168888,0,1,1400,"1514 86th St,Brooklyn, NY 11228",True,https://www.trulia.com/p/ny/brooklyn/1514-86th-st-brooklyn-ny-11228--2224587428,REMAX REAL ESTATE PROFESSIONALS,"NEW - 19 MIN AGO
$168,888
Studio
1ba
1,400 sqft
1514 86th St,
Brooklyn, NY 11228
LISTING BY: REMAX REAL ESTATE PROFESSIONALS"
5,2005000,2,2,1409,"180 Front St #10F,Brooklyn, NY 11201",True,https://www.trulia.com/p/ny/brooklyn/180-front-st-10f-brooklyn-ny-11201--2568100923,CIM / LIVWRK,"NEW - 19 MIN AGO
$2,005,000
2bd
2ba
1,409 sqft
180 Front St #10F,
Brooklyn, NY 11201
LISTING BY: CIM / LIVWRK"
6,1399999,11,6,,"6812 13th Ave,Brooklyn, NY 11219",True,https://www.trulia.com/p/ny/brooklyn/6812-13th-ave-brooklyn-ny-11219--2009743595,EXIT REALTY TOP PROPERTIES,"NEW - 21 MIN AGO
$1,399,999
11bd
6ba
6812 13th Ave,
Brooklyn, NY 11219
LISTING BY: EXIT REALTY TOP PROPERTIES"
7,625000,0,1,,"165 W End Ave #12G,New York, NY 10023",True,https://www.trulia.com/p/ny/new-york/165-w-end-ave-12g-new-york-ny-10023--2332913085,THE AGENCY,"NEW
OPEN SUN, 11-1PM
$625,000
Studio
1ba
165 W End Ave #12G,
New York, NY 10023
LISTING BY: THE AGENCY"
8,1250000,1,2,1025,"44 W 62nd St #A,New York, NY 10023",True,https://www.trulia.com/p/ny/new-york/44-w-62nd-st-a-new-york-ny-10023--2224961617,SOTHEBY'S INTERNATIONAL REALTY,"NEW
OPEN SUN, 2:45-4PM
$1,250,000
1bd
2ba
1,025 sqft
44 W 62nd St #A,
New York, NY 10023
LISTING BY: SOTHEBY'S INTERNATIONAL REALTY"
9,334000,1,1,855,"7101 Colonial Rd #R1E,Brooklyn, NY 11209",True,https://www.trulia.com/p/ny/brooklyn/7101-colonial-rd-r1e-brooklyn-ny-11209--2478873527,MOMENTUM REAL ESTATE LLC,"NEW - 28 MIN AGO
$334,000
1bd
1ba
855 sqft
7101 Colonial Rd #R1E,
Brooklyn, NY 11209
LISTING BY: MOMENTUM REAL ESTATE LLC"
10,999000,8,6,3097,"2132 E 69th St,Brooklyn, NY 11234",True,https://www.trulia.com/p/ny/brooklyn/2132-e-69th-st-brooklyn-ny-11234--2089023968,REMAX CITY SQUARE,"NEW - 40 MIN AGO
$999,000
8bd
6ba
3,097 sqft
2132 E 69th St,
Brooklyn, NY 11234
LISTING BY: REMAX CITY SQUARE"
11,798000,1,1,810,"135 E 39th St #6D,New York, NY 10016",True,https://www.trulia.com/p/ny/new-york/135-e-39th-st-6d-new-york-ny-10016--2478586422,BERKSHIRE HATHAWAY HOMESERVICES NEW YORK PROPERTIES,"NEW
OPEN SUN, 12:30-2PM
$798,000
1bd
1ba
810 sqft
135 E 39th St #6D,
New York, NY 10016
LISTING BY: BERKSHIRE HATHAWAY HOMESERVICES NEW YORK PROPERTIES"
12,1625000,6,6,,"45-16 48th St #6FAM,Woodside, NY 11377",True,https://www.trulia.com/p/ny/woodside/45-16-48th-st-6fam-woodside-ny-11377--2625440298,MODERN SPACES,"NEW - 40 MIN AGO
$1,625,000
6bd
6ba
45-16 48th St #6FAM,
Woodside, NY 11377
LISTING BY: MODERN SPACES"
13,1750000,1,1,748,"100 Vandam St #13B,New York, NY 10013",True,https://www.trulia.com/p/ny/new-york/100-vandam-st-13b-new-york-ny-10013--2625440297,SERHANT.,"NEW - 40 MIN AGO
$1,750,000
1bd
1ba
748 sqft
100 Vandam St #13B,
New York, NY 10013
LISTING BY: SERHANT."
14,170000,0,1,,"125-10 Queens Blvd #25,Kew Gardens, NY 11415",True,https://www.trulia.com/p/ny/kew-gardens/125-10-queens-blvd-25-kew-gardens-ny-11415--2625381847,DOUGLAS ELLIMAN,"NEW
OPEN SUN, 1-2:30PM
$170,000
Studio
1ba
125-10 Queens Blvd #25,
Kew Gardens, NY 11415
LISTING BY: DOUGLAS ELLIMAN"
15,337000,1,1,800,"138-10 Franklin Ave #10J,Flushing, NY 11355",True,https://www.trulia.com/p/ny/flushing/138-10-franklin-ave-10j-flushing-ny-11355--2619048173,AAA YOUNG SHUEN REALTY INC.,"NEW - 40 MIN AGO
$337,000
1bd
1ba
800 sqft
138-10 Franklin Ave #10J,
Flushing, NY 11355
LISTING BY: AAA YOUNG SHUEN REALTY INC."
16,3150000,10,10,,"26-27 28th St #2627,Astoria, NY 11102",True,https://www.trulia.com/p/ny/astoria/26-27-28th-st-2627-astoria-ny-11102--2535719490,MODERN SPACES,"NEW - 40 MIN AGO
$3,150,000
10bd
10ba
26-27 28th St #2627,
Astoria, NY 11102
LISTING BY: MODERN SPACES"
17,649999,3,2,1472,"251 Lamport Blvd,Staten Island, NY 10305",True,https://www.trulia.com/p/ny/staten-island/251-lamport-blvd-staten-island-ny-10305--2008761043,WEICHERT REALTORS EVOLUTION GROUP,"NEW
OPEN SAT, 12-3PM
$649,999
3bd
2ba
1,472 sqft
251 Lamport Blvd,
Staten Island, NY 10305
LISTING BY: WEICHERT REALTORS EVOLUTION GROUP"
18,1099999,3,1,2208,"113 Glenwood Ave,Staten Island, NY 10301",True,https://www.trulia.com/p/ny/staten-island/113-glenwood-ave-staten-island-ny-10301--2008721181,"NEUHAUS REALTY, INC.","NEW - 1 HR AGO
$1,099,999
3bd
1ba
2,208 sqft
113 Glenwood Ave,
Staten Island, NY 10301
LISTING BY: NEUHAUS REALTY, INC."
19,279000,0,,1320,"10220 187th St,Jamaica, NY 11423",True,https://www.trulia.com/p/ny/jamaica/10220-187th-st-jamaica-ny-11423--2010209926,SOWAE CORP,"NEW - 1 HR AGO
$279,000
Studio
1,320 sqft
10220 187th St,
Jamaica, NY 11423
LISTING BY: SOWAE CORP"
20,688000,3,2,1050,"956 79th St #2B,Brooklyn, NY 11228",True,https://www.trulia.com/p/ny/brooklyn/956-79th-st-2b-brooklyn-ny-11228--2009814870,BROWN HARRIS STEVENS,"NEW
OPEN SUN, 12-1:30PM
$688,000
3bd
2ba
1,050 sqft
956 79th St #2B,
Brooklyn, NY 11228
LISTING BY: BROWN HARRIS STEVENS"
21,385000,1,1,875,"10914 Ascan Ave #4O,Flushing, NY 11375",True,https://www.trulia.com/p/ny/flushing/10914-ascan-ave-4o-flushing-ny-11375--2177438363,EXP REALTY NYC,"NEW - 2 HRS AGO
$385,000
1bd
1ba
875 sqft
10914 Ascan Ave #4O,
Flushing, NY 11375
LISTING BY: EXP REALTY NYC"
22,270000,1,1,770,"770 sqft740 E 32nd St #C7,",True,https://www.trulia.com/p/ny/brooklyn/740-e-32nd-st-c7-brooklyn-ny-11210--2332074321, 11210,"NEW
OPEN FRI, 10-8:30PM
FOR SALE BY OWNER
$270,000
1bd
1ba
770 sqft
740 E 32nd St #C7,
Brooklyn, NY 11210"
23,999000,7,2,2200,"1578 E 96th St,Brooklyn, NY 11236",True,https://www.trulia.com/p/ny/brooklyn/1578-e-96th-st-brooklyn-ny-11236--2089035499,EXCELL CHOICE REALTY,"NEW - 2 HRS AGO
© Google
$999,000
7bd
2ba
2,200 sqft
1578 E 96th St,
Brooklyn, NY 11236
LISTING BY: EXCELL CHOICE REALTY"
24,1200000,5,3,2250,"7220 Avenue W,Brooklyn, NY 11234",True,https://www.trulia.com/p/ny/brooklyn/7220-avenue-w-brooklyn-ny-11234--2158709631,COMPASS,"NEW
$1,200,000
5bd
3ba
2,250 sqft
7220 Avenue W,
Brooklyn, NY 11234
LISTING BY: COMPASS"
25,479000,2,1,750,"52-54 65th Pl #1J,Queens, NY 11378",True,https://www.trulia.com/p/ny/queens/52-54-65th-pl-1j-queens-ny-11378--2545728427,NEST SEEKERS INTERNATIONAL,"NEW - 2 HRS AGO
$479,000
2bd
1ba
750 sqft
52-54 65th Pl #1J,
Queens, NY 11378
LISTING BY: NEST SEEKERS INTERNATIONAL"
