Unnamed: 0,price,bed,bath,feet,address,new_flag,link,latitude,longitude
0,365000,2,1,963,"825 Morrison Ave Bronx, NY 10473",True,https://www.trulia.com/p/ny/bronx/825-morrison-ave-10l-bronx-ny-10473--2307422989,40.82056995,-73.87318743050017
1,399000,1,1,1000,"97-11 63rd Dr Rego Park, NY 11374",True,https://www.trulia.com/p/ny/rego-park/97-11-63rd-dr-e7-rego-park-ny-11374--2478467167,40.7307438,-73.8601777461798
2,475000,2,2,1200,"555 Kappock St Bronx, NY 10463",True,https://www.trulia.com/p/ny/bronx/555-kappock-st-2l-bronx-ny-10463--2495328442,40.877946699999995,-73.91703031266044
3,418000,2,2,1138,"100 Colfax Ave Staten Island, NY 10306",True,https://www.trulia.com/p/ny/staten-island/100-colfax-ave-2j-staten-island-ny-10306--2008768811,40.5795929,-74.1074795
4,399000,2,1,1221,"31 Devon Loop Staten Island, NY 10314",True,https://www.trulia.com/p/ny/staten-island/31-devon-loop-a-staten-island-ny-10314--2008855913,40.5810669,-74.1610438
5,575000,1,1,739,"133 Beach 116 St Rockaway Park, NY 11694",True,https://www.trulia.com/p/ny/rockaway-park/133-beach-116-st-2l-rockaway-park-ny-11694--2625412590,,
6,400000,2,2,853,"1286 E 91st St Brooklyn, NY 11236",True,https://www.trulia.com/p/ny/brooklyn/1286-e-91st-st-202-brooklyn-ny-11236--2089033467,40.63828245,-73.90283943469908
7,305000,,1,450,"85-14 Broadway Elmhurst, NY 11373",True,https://www.trulia.com/p/ny/elmhurst/85-14-broadway-5d-elmhurst-ny-11373--2396405549,40.7389383,-73.87802549759652
8,375000,2,2,,"800 Grand Concourse Bronx, NY 10451",True,https://www.trulia.com/p/ny/bronx/800-grand-concourse-2sn-bronx-ny-10451--2333368890,40.82486205,-73.92260592736525
9,258000,1,1,850,"37-51 86th St Jackson Heights, NY 11372",True,https://www.trulia.com/p/ny/jackson-heights/37-51-86th-st-3n-jackson-heights-ny-11372--2556347846,40.748676599999996,-73.88004121634299
10,3350000,3,3,1980,"520 W 19th St New York, NY 10011",True,https://www.trulia.com/p/ny/new-york/520-w-19th-st-5c-new-york-ny-10011--2088827172,40.74546375,-74.00713068884602
11,1838888,13,6,3974,"69 Starbuck St,Staten Island, NY 10304",True,https://www.trulia.com/p/ny/staten-island/69-starbuck-st-staten-island-ny-10304--2008753672,40.610648350000005,-74.08990037566667
12,985000,4,4,2400,"3 Craig Ave,Staten Island, NY 10307",True,https://www.trulia.com/p/ny/staten-island/3-craig-ave-staten-island-ny-10307--868983,40.51687915,-74.2375387741059
